Brand,Product_Name,Serving Size,Calories,Total_Sugar
Coca-Cola,Coca-Cola Original,12 fl oz,140,39
Coca-Cola,Coca-Cola Zero Sugar,12 fl oz,0,0
Coca-Cola,Coca-Cola Cherry,12 fl oz,150,42
Coca-Cola,Coca-Cola Vanilla,12 fl oz,150,42
Sprite,Sprite,12 fl oz,140,38
Sprite,Sprite Zero Sugar,12 fl oz,0,0
Fanta,Fanta Orange,12 fl oz,160,44
Fanta,Fanta Grape,12 fl oz,160,44
Barq's,Barq's Root Beer,12 fl oz,160,44
Barq's,Barq's Diet Root Beer,12 fl oz,0,0
Mello Yello,Mello Yello,12 fl oz,170,47
Mello Yello,Mello Yello Zero Sugar,12 fl oz,0,0
Minute Maid,Minute Maid Lemonade,12 fl oz,150,40
Minute Maid,Minute Maid Light Lemonade,12 fl oz,15,4
Powerade,Powerade Mountain Berry Blast,12 fl oz,80,21
Powerade,Powerade Zero Mixed Berry,12 fl oz,0,0
